ID,知识点,题型,主观题类型,题干（前120字）,正确答案（前80字）,选项数量,难度
110,收益率,subjective,calculate,"某公司发行5年到期的债券，票面面额为1 000元，售价为960元，年息票率为7％，半年付息一次。试计算：
（1）当期收益率
（2）到期收益率
（3）持有3年后，将该债券以992元的价格出售，则该投资者的实际收益率为多少?","（1）当期收益率=70/960=7.29%
（2）到期收益率
960=1000*3.5%*PVIFA(r/2,10)+1000/(1+r/2)^10
根据上式可",0,1205
133,收益率,subjective,calculate,"已知无风险资产收益率为8%，市场组合收益率为15%。A公司股票的贝塔系数为1.2，派息比率40%，最近每股盈利10美元，刚刚支付了每年支付一次的股息，预期该股票的股东权益收益率为20%。
（1）求该股票的内在价值
（2）假如当前的股价为10","（1）股息增长率g=b*ROE=(1-40%)*20%=12%
折现率r=8%+1.2*(15%-8%)=16.4%
P0=D1/(r-g)=10*40%*(1",0,1231
136,收益率,subjective,calculate,A公司现在有好几个盈利产品，还有一些极富希望的产品正在研发中。公司每股收益1美元，每股分红为0.5美元，股利刚刚发放。投资者相信公司能够保持这一股利分配率。股权收益率为20%，该公司所处行业要求的收益率是15%。市场普遍认为情况时不确定的。,"（1）E0=1 D0=0.5 ROE=20% r=15%
因此b=0.5  g=b*ROE=10%
P0=D1/(r-g)=0.5*(1+10%)/(15%-1",0,1234
16,收益率的计算,subjective,calculate,下面列出了期限不同的零息债券价格\n面值为1000元的债券，票面利率为8.5%，每年付息，3年后到期，该债券的到期收益率是多少？\n如果第一年年底收益率曲线在8%处变成水平的，则持有该付息债券1年的持有期收益率为多少？,到期收益率y满足：\n85/(1+y)+85/(1+y)^2+1085/(1+y)^3=1040.2\n解得y=6.97%\n(2）如果第一年年底y=8%\n则,0,1207
112,收益率的计算,subjective,calculate,"下面列出了期限不同的零息债券价格
面值为1000元的债券，票面利率为8.5%，每年付息，3年后到期，该债券的到期收益率是多少？
如果第一年年底收益率曲线在8%处变成水平的，则持有该付息债券1年的持有期收益率为多少？","到期收益率y满足：
85/(1+y)+85/(1+y)^2+1085/(1+y)^3=1040.2
解得y=6.97%
(2）如果第一年年底y=8%
则债券价格",0,1207
66,放弃期权,subjective,calculate,A公司正在准备引进一种新产品。将该产品推向市场将花费2500万元，并且在未来五年内每年带来760万的税后现金流，该项目的折现率为20%。\n（1）请问该项目的净现值为多少？\n（2）公司进一步研究后发现，市场需求高的可能性为60%，这将使得,"（1）NPV=-2500+760*PVIFA(20%,5)=-227.14万元\n（2）上行=1000*PVIFA(20%,4)=2588.7万元\n下行=20",0,1250
147,放弃期权,subjective,calculate,"A公司正在准备引进一种新产品。将该产品推向市场将花费2500万元，并且在未来五年内每年带来760万的税后现金流，该项目的折现率为20%。
（1）请问该项目的净现值为多少？
（2）公司进一步研究后发现，市场需求高的可能性为60%，这将使得公司","（1）NPV=-2500+760*PVIFA(20%,5)=-227.14万元
（2）上行=1000*PVIFA(20%,4)=2588.7万元
下行=2000",0,1250
86,无税MM定理,subjective,calculate,B公司目前全部用权益资本来满足其资金需求，权益资本成本为12%。现公司打算以8%的利率发行债券，在新的资本结构下，债券市场价值为公司价值的45%，若公司的所得税率为25%，计算该公司新的权益资本成本和加权平均资本成本。,"B/(B+S)=45%   B/S=45/55
R0=12%
Rs=R0+(R0-Rb)*B/S*(1-tc)=14.45%
Rwacc=0.45*8%*0.7",0,1271
89,无税MM定理,subjective,calculate,某公司的债务为5.3亿元，股票市值为73.1亿元，公司为扩大生产需要调整其资产结构，调整后负债权益比为25%，调整前的权益资本成本为12.6%，借款利率8%，所得税率40%，求加权平均资本成本。,"Rs=R0+(R0-Rb)*B/S*(1-tc)=12.6%
R0=12.41%
Rs’=R0+(R0-Rb)*B/S*(1-tc)=13.07%
Rwacc=",0,1275
186,无风险套利,subjective,calculate,有A、B两家公司，其资产性质完全相同，经营风险也完全相同，两家公司每年的息税前利润都为100万元。在不考虑所得税的情况下，公司所有的净收益都将以股利形式分配给股东。A、B两家公司的唯一区别就在于公司的资本结构不同：A公司全部采用股权融资，股,"存在套利机会，说明如下：
由于B公司被低估，可以卖空A公司0.8%的股权，获得收益8万元以买入B公司1%的股权和债权。此时0时点投资额为0。
未来的每年中：
投",0,1318
188,无风险套利,subjective,calculate,"考虑以下单因素经济中的数据，所有的投资组合都是充分分散的。
假设存在另一个充分分散的投资组合E，β为0.6，期望收益为8%，是否存在无风险套利机会？如果存在，如何套利？","因为投资组合F的β为0，因此6%为无风险利率
投资组合A的每单位风险带来的溢价为（12%-6%）/1.2=5%
投资组合E的每单位风险带来的溢价为（8%-6%）",0,1320
198,无风险套利,subjective,calculate,假设三年期的即期利率为5%，5年期的即期利率为7%，如果3到5年的远期利率为6%，问：是否可以利用远期合约进行无风险套利活动？如果不可以，请说明原因；如果可以，请说明如何操作及最终结果。,"根据无套利定价原理，3年到5年期的远期利率f(3,5)应该满足：
[1+i(0,3)]^3*[1+f(3,5)]^2=[1+i(0,5)]^5
解得f(3,5)",0,1328
203,无风险套利,subjective,calculate,"已知：rus=4%,ruk=7%,E0=2美元/英镑，F0=1.98（一年期交割）。应该怎么套利？",,0,1330
206,无风险套利,subjective,calculate,"英镑的现货价格为2美元。如果1年期政府债券的无风险利率在美国为4%，在英国为6%，求：
（1）1年期英镑远期价格必定是多少？
（2）如果实际的远期价格为2.03美元/英镑，投资者应该如何进行无风险套利？","（1）由平价公式，英镑远期价格为：
F0=E0*e^(rus-ruk) =2*e^(0.04-0.06)=1.960美元/英镑
（2）如果实际的远期价格为2.0",0,1333
207,无风险套利,subjective,calculate,标准普尔资产组合每100美元支付红利2美元，现值为950点，国库券利率为5%。假定一年期标准普尔期货价格为980点，请构建一套无风险套利策略。,"理论期货价值F=950*(1+5%-2%)=978.5点，低于实际期货价格。
因此构建头寸：指数现货多头，指数期货空头，借款。
在当前时点上，

备注：首先，用",0,1334
174,有收益标的资产欧式看涨期权和看跌期权之间的平价关系,subjective,calculate,试证明有收益标的资产欧式看涨期权和看跌期权之间的平价关系。,"过程请同学们自行完成。
最后C+I+Xe^(-r(T-t))=P+S 得到证明",0,1306
217,有收益的标的资产欧式看涨看跌期权平价关系,subjective,calculate,期限为3个月的欧式看涨和看跌期权，执行价格都为20美元，现在价格都为3美元。无风险利率为10%。现在标的股票价格为19美元，并在1个月后支付1美元的红利。请说明是否存在套利机会？如果存在，将如何套利？套利结果是什么？,"代入数据左边=3+1*e^(-10%/12)+20*e^(-10%/4)=23.4979
右边=3+19=22
因此存在套利机会
套利策略：
买入一单位标的资产",0,1343
18,有效收益率。,subjective,calculate,国库券面值10000美元，期限90天，以银行贴现率为3%的价格售出。\n（1）国库券价格是多少？\n（2）国库券的90天持有期收益率是多少？\n（3）国库券的有效年收益率是多少？,（1）P=10000*[1-0.03*(90/360)]=9925美元\n（2）90天收益率=(10000-9925)/9925=0.7557%\n（3）EAR,0,1209
114,有效收益率。,subjective,calculate,"国库券面值10000美元，期限90天，以银行贴现率为3%的价格售出。
（1）国库券价格是多少？
（2）国库券的90天持有期收益率是多少？
（3）国库券的有效年收益率是多少？","（1）P=10000*[1-0.03*(90/360)]=9925美元
（2）90天收益率=(10000-9925)/9925=0.7557%
（3）EAR=(",0,1209
189,有现金收益远期公式的推导,subjective,calculate,试证明支付已知现金收益资产的现货远期平价公式F=（S-I）er(T-t)。,"假设F>(S-I)er(T-t),交割价格高于远期理论价格，这样，套利者就可以借入现金S，买入标的资产并卖出一份远期合约，价格为F。在T时刻，需要还本付息Ser",0,1321
212,期权,subjective,calculate,某股票的当前价格是94美元，以该股票为标的，协议价格为95美元，3个月买权的当前售价为4.7美元。某投资者认为股票价格将会上升，他有两个策略可供选择：买入100股股票，或者买入2000份买权，拥有以协议价格买入2000股股票的权利，投资额均,"不妨假设股票价格持续上升，最终涨到x，此时两者收益相同。则有：
第一种方法收益=(x-94)*(9400/94)美元
第二种方法收益=(x-95)*2000-4",0,1338
195,期权交易,subjective,calculate,考虑一牛市期权价格差策略，执行价格为25美元的看涨期权市价4美元，执行价格为40美元的另一看涨期权价格为2.50美元。如果在到期日股价上升为50美元，期权在到期日实施，不考虑交易成本，则到期日的净利润为多少？,"由于是牛市期权策略，故25美元的期权多头，40美元的期权空头。
25美元期权盈利：50-25-4=21美元
40美元期权盈利：-(50-40)+2.5=-7.5",0,1325
213,期权套利,subjective,calculate,"假设A公司当前股票价格为每股350元，标的资产为该股票的，一年期且执行价格为150元的欧式看涨期权价格为280元。与其相同条件的欧式看跌期权价格为69.53元。
（1）一年期无风险零息债券利率是多少？
（2）如果一年期无风险零息债券利率为8","（1）P+S=C+PV(K)
即69.53+350=280+150/(1+rf)  rf=7.5%
（2）当r=8%时，
P+S>C+PV(K)，方向为“卖左买",0,1339
214,期权套利,subjective,calculate,D公司是一家上市公司，其股票于2017年8月1日的收盘价为每股40元，某券商以该股票为标的资产发行看涨期权，执行价格为42元，到期时间3个月。3个月以内公司不会派发股利，3个月以后股价有2种变化的可能：上升到46元或者下降到30元。3个月到,"（1）
p=(e^rt-d)/(u-d)=[e^(4%*3/12)-0.75]/(1.15-0.75)=0.650
C=p*4*e^(-rt)=0.650*4*",0,1340
215,期权套利,subjective,calculate,"股票现价是5元，无风险利率12%，半年之后股价可能上涨到18元，也可能下跌到12元。以该股票为标的的欧式看涨期权，执行价格16元，求：
（1）该欧式看涨期权的价格？
（2）如果看跌期权的价格为2元，应该如何套利？
（3）如果看跌期权的价格为","

备注：为让同学们有更深一层的理解，本题仅提供答案。请感受何为“多空同时”。",0,1341
216,期权套利,subjective,calculate,标的股票价格为31元，执行价格为30元，无风险年收益率为10%，3个月期的欧式看涨期权价格为3元，看跌期权价格为2.25元，如何套利?,"C+Xe^(-r(T-t))=3+30e^(-10%*0.25)=32.259
所以正确的套利过程应该是买入看涨期权，卖空标的和看跌期权，并将得到的净收入30.",0,1342
179,期权定价,subjective,calculate,".在无套利市场中，考虑一个两年期欧式看跌期权，标的股票的当前价格为50元，期权的执行价格是52元。在每一年中，股票的价格都可能上升20%或下降20%。设无风险利率为5%，求：
（1）风险中性概率；
（2）欧式看跌期权的价值。","（1）p=(e^rT-d)/(u-d)=(1.05-0.8)/(1.2-0.8)=5/8
（2）构建如下二叉树：
P=2*5/8*3/8*4*e^(-0.05*",0,1311
194,期货交易,subjective,calculate,1月1日，你卖出一份4月份的标普指数期货合约（乘数为250），当时股指为420点。如果2月1日股指升至430点，要平仓将盈利（损失）多少（不考虑交易费用）？,"空头头寸，(420-430)*250=-2500美元
即损失2500美元

备注：注意头寸是多头还是空头，不要把买入卖出弄反了。",0,1324
57,未来时点现金流折现,subjective,calculate,某公司当前每股盈利为8.25美元，公司增长率为0，同时所有的盈利都作为股利发放。现在公司有一项新项目，在一年内要求进行的投资额为每股1.60美元。该项目仅为期两年，同时它将在投资完成后的两年中使公司每股盈利上升2.10美元和2.45美元。投,（1）P0=EPS/Rs=68.75元\n（2）NPVGO=-1.6/1.12+2.1/1.122+2.45/1.123=1.99\nP’=68.75+1.99,0,1241
142,未来时点现金流折现,subjective,calculate,某公司当前每股盈利为8.25美元，公司增长率为0，同时所有的盈利都作为股利发放。现在公司有一项新项目，在一年内要求进行的投资额为每股1.60美元。该项目仅为期两年，同时它将在投资完成后的两年中使公司每股盈利上升2.10美元和2.45美元。投,"（1）P0=EPS/Rs=68.75元
（2）NPVGO=-1.6/1.12+2.1/1.122+2.45/1.123=1.99
P’=68.75+1.99=7",0,1241
11,本题仅作最后结果。,subjective,calculate,一年期面值为100元的零息债券目前市价为94.34元，2年期零息债券目前市价为84.99元。你正在考虑购买2年期、面值为100元、息票率为12%（每年支付一次利息）的债券。\n（1）2年期零息债券和两年期付息债权的到期收益率分别是多少？\n,（1）8.47%  8.33%\n（2）11%\n（3）100.9,0,1203
109,本题仅作最后结果。,subjective,calculate,"一年期面值为100元的零息债券目前市价为94.34元，2年期零息债券目前市价为84.99元。你正在考虑购买2年期、面值为100元、息票率为12%（每年支付一次利息）的债券。
（1）2年期零息债券和两年期付息债权的到期收益率分别是多少？
（2","（1）8.47%  8.33%
（2）11%
（3）100.9",0,1203
231,杠杆系数,subjective,calculate,"某企业全部固定成本和费用为300万元（含利息），企业资产总额为5000万元，资产负债率为40%，负债平均利息率为5%，净利润为750万元，所得税率为25%。
（1）计算DOL、DFL、DTL
（2）预计营业收入增长20%，企业每股收益增长多","（1）NI=750万元
EBIT=750/75%+5000*40%*5%=1100
DOL=(1100+200)/1100=1.18
DFL=1100/(110",0,1358
27,构建远期贷款,subjective,calculate,假设不同期限的零息债券价格如下所示，债券面值1000美元。\n计算每年的远期利率\n请你使用如上零息债券为银行构建一个从第三年开始的1年期远期贷款，并证实贷款利率等于远期利率。\n若远期贷款在第四年开始执行，再次回答（2）。,（2）对于现在发行的3年期零息债券来说\n可以用发行收入购买782.92/715=1.095只4年期债券，因此，现金流状况如下\n这是一种从第三年开始的1年期合,0,1213
118,构建远期贷款,subjective,calculate,"假设不同期限的零息债券价格如下所示，债券面值1000美元。
计算每年的远期利率
请你使用如上零息债券为银行构建一个从第三年开始的1年期远期贷款，并证实贷款利率等于远期利率。
若远期贷款在第四年开始执行，再次回答（2）。","（2）对于现在发行的3年期零息债券来说
可以用发行收入购买782.92/715=1.095只4年期债券，因此，现金流状况如下
这是一种从第三年开始的1年期合成贷",0,1213
168,标准差的计算,subjective,calculate,"下表是两只股票的估计：
市场指数标准差为22%，无风险利率为8%。
股票A、B的标准差各是多少？
假设我们要构建一个组合，股票A占30%，股票B占45%，短期国债占25%，计算组合的期望收益、标准差、β和非系统性标准差。","代入数据，
（2）
资产组合的方差
其中是系统性风险，是非系统性风险
由于残差不相关，所以:
因此

备注：这类题型看似比较复杂，但实际上难度不大，单因子模型就",0,1300
233,每股收益无差别点,subjective,calculate,"K股份有限公司正在比较两种不同的资本结构。计划I是发行1100股股票和负债16500美元。计划II是发行900股股票和负债27500美元。负债的利率是10%
（1）公司在全权益的情况下，将在外发行1400股股票。假设公司的EBIT为1000","（1）全权益：10000/1400=7.14
情况I：(10000-16500*10%)/1100=7.59
情况II：(10000-2750)/900=8.0",0,1360
190,汇率远期,subjective,calculate,某日纽约外汇市场即期汇率美元/瑞士法郎1.7130-40，三个月远期差价140-135，则远期汇率为多少？,,0,1322
61,沉没成本,subjective,calculate,Y公司在评估西部投资建厂的经济效益。该项目的生命周期预期为5年。公司在3年前已经以800万元购入了一块土地，如果公司现在出售该块土地，会获得税后650万元，如果5年后出售该块土地，保守估计仍会获得税后650万元。公司决定将厂房建于该块土地，,（1）-650-1500-90=-2240万元\n（2）D=1500/8=187.5万元\n残值=1500-187.5*5=562.5万元\n纳税调整=500-,0,1245
143,沉没成本,subjective,calculate,Y公司在评估西部投资建厂的经济效益。该项目的生命周期预期为5年。公司在3年前已经以800万元购入了一块土地，如果公司现在出售该块土地，会获得税后650万元，如果5年后出售该块土地，保守估计仍会获得税后650万元。公司决定将厂房建于该块土地，,"（1）-650-1500-90=-2240万元
（2）D=1500/8=187.5万元
残值=1500-187.5*5=562.5万元
纳税调整=500-（50",0,1245
72,盈亏平衡分析,subjective,calculate,"某型号发动机计划在未来五年进行生产和销售。发动机的售价是200万美元，单位变动成本是100万美元，固定成本是17.91亿美元，折旧为3亿美元，初始投资为15亿美元，税率为34%，折现率为15%，求其会计盈亏平衡点与财务盈亏平衡点。(P/A,","会计盈亏平衡点=(F+D)/(P-V)=(17.91+3)亿/(200-100)万=2091万
EAC=15/(P/A,15%,5)=4.475亿
财务盈亏平衡",0,1256
74,盈亏平衡点,subjective,calculate,D公司正考虑一个新项目的可行性，项目初始投资额为160万元，预计寿命10年，期末无残值，年广告费为15万元。单位产品成本2元，预期售价每件6元。假设折现率10%，公司所得税25%，求该项目会计盈亏平衡点和财务盈亏平衡点。（PVIFA（10%,"会计盈亏平衡点=(F+D)/(P-C)=(15+16)/(6-2)=7.75万
EAC=160/6.144=26.04万元
财务盈亏平衡点=[EAC+F*(1-",0,1258
75,盈亏平衡点,subjective,calculate,YZ公司投资100万元儿童安全座椅生产线，预计生产每件安全座椅的变动成本2000元，每年固定成本为23万元（含折旧），预计市场售价为3000元，项目必要报酬率为8%，所得税率为25%。该项目的项目周期为5年，按直线法计提折旧，预计残值5万元,"D=95/5=19万元
EAC=(100-5/1.085)/3.9927=24.198万元
Q=[24.198+4*(1-25%)-19*0.25]/[(300",0,1259
236,盈亏平衡点EBIT的计算,subjective,calculate,"某公司正在比较两种不同的资本结构，全权益计划（计划Ⅰ）与杠杆计划（计划Ⅱ）。在计划Ⅰ中，公司将发行250000股股票。在计划Ⅱ下，公司将发行150000股股票以及300万美元的负债。负债的利率为12%，假设不存在税收。
如果EBIT为800","计划Ⅱ，利息I=300*0.12=36万美元
EPS=(80-36)/15=2.93美元/股
此时，计划Ⅰ对应的EPS更高
（2）计划Ⅰ，EPS=160/25=",0,1363
51,相关系数的计算,subjective,calculate,假设指数模型回归使用的是超额收益。\nRA=3%+0.7Rm+eA\nRB=-2%+1.2Rm+eB\nσm=20%\n=0.2\n=0.12\n（1）每只股票的标准差是多少？\n（2）两只股票之间的协方差和相关系数是多少？\n（3）若组合,因此\n解得σA=31.3%\n同理σB=69.28%\n（2）A和B的收益率的协方差为（由于残差被假定是不相关的）\n所以相关系数为\n（3）\n\n备注：注,0,1235
137,相关系数的计算,subjective,calculate,"假设指数模型回归使用的是超额收益。
RA=3%+0.7Rm+eA
RB=-2%+1.2Rm+eB
σm=20%
=0.2
=0.12
（1）每只股票的标准差是多少？
（2）两只股票之间的协方差和相关系数是多少？
（3）若组合P投资于A股票6","因此
解得σA=31.3%
同理σB=69.28%
（2）A和B的收益率的协方差为（由于残差被假定是不相关的）
所以相关系数为
（3）

备注：注意R2的含义，",0,1235
169,看涨看跌平价公式（PCP）,subjective,calculate,考虑同一股票的一年期看涨期权和一年期看跌期权，两者的执行价格都是100美元。如果无风险利率为5%，股票的市场价格为103元，且看跌期权价格为7.5美元，则看涨期权价格为多少？,,0,1301
60,租赁,subjective,calculate,某企业计划使用一种大型设备，既可以采用购买的方式，也可以采用租赁的方式。若采取购买方式，企业需要一次性支付设备价格300万元，预计使用年限6年，残值60万元，直线折旧。若采取租赁的方式，企业需要每年支付租赁费70万元，租赁期6年。假定贴现率,"购买：
NPV=-300+40*0.25*4.114+60*0.5066=-228.464万元
租赁：
-70*(1-25%)*4.114=-215.985万元",0,1244
96,税盾折现,subjective,calculate,某公司调整其债务使其利息花费永远为自由现金流的20%。公司正在考虑扩张，且扩张后今年能带来200万元的自由现金流，公司期望每年自由现金流的增长率为3.8%，假设W公司的边际公司税率为36%。\n（1）如果此次扩张的无杠杆资本成本为10.6%,（1）Vu=200/(10.06%-3.8%)=2941.18万元\n（2）利息税盾=200*20%*36%/(10.6%-3.8%)=211.76万元\nVL,0,1285
159,税盾折现,subjective,calculate,"某公司调整其债务使其利息花费永远为自由现金流的20%。公司正在考虑扩张，且扩张后今年能带来200万元的自由现金流，公司期望每年自由现金流的增长率为3.8%，假设W公司的边际公司税率为36%。
（1）如果此次扩张的无杠杆资本成本为10.6%，","（1）Vu=200/(10.06%-3.8%)=2941.18万元
（2）利息税盾=200*20%*36%/(10.6%-3.8%)=211.76万元
VL=2",0,1285
91,米勒模型,subjective,calculate,公司U无负债，公司L有10万元的债务，债务资本为8%，假设两家公司的息税前利润为10万元且永续，公司所的税率为25%.假设公司U和公司L都将所有的净利润作为股利支付给股东，股东的个人所得税率为20%，利息的个人所得税率为5%，公司U的折现率,"Vu=10*(1-25%)/20%=37.5
VL=Vu+B*[1-(1-tc)*(1-ts)/(1-tb)]
VL=30+10*[1-(1-25%)*(1-2",0,1280
67,约当年均成本法。,subjective,calculate,你正在评估两台不同的硅晶片采矿机。T1型号成本为270000美元，使用期限为3年，每年税前运营成本为45000美元。T2型号成本为370000美元，使用期限为五年，每年税前运营成本48000美元。这两台采矿机都采用直线折旧法进行折旧，在使用,"残值的纳税调整=20000-20000*35%=13000美元
OCF1=(0-45000)*(1-0.35)+(270000/3)*0.35=2250美元
N",0,1251
228,绩效评价指标,subjective,calculate,"
市场上的无风险利率为5%，求：
（1）每只股票的期望收益率和α值
（2）识别并判断哪只股票能更好满足投资者的如下需求：
a.将该股票加入一个风险被充分分散的资产组合；
b.将该股票作为单一股票组合来持有。","（1）根据CAPM，股票X的期望收益率=5%+0.8*(14%-5%)=12.2%
股票X的α=14%-12.2%=1.8%
股票Y的期望收益率=5%+1.5*",0,1355
230,绩效评价指标,subjective,calculate,"考虑对股票A和B的两个（超额收益）指数模型回归结果，在这段时间内无风险利率为6%，市场平均回报率为14%，对项目的超额收益以指数回归模型来测度。
（1）计算每只股票的阿尔法值、信息比率、夏普测度、特雷诺指数
（2）在下列情况下哪只股票是最佳","（1）σa=1%  σb=2%
IRa=1%/10.3%=9.71%
IRb=2%/19.1%=10.47%
SRa=(1%+1.2*8%)/21.6%=0.4",0,1357
182,美式期权二叉树的计算,subjective,calculate,上题中欧式看跌期权变为美式看跌期权，期权价值如何？,"提前行权二叉树如下所示：
不行权二叉树如下所示：
全部节点进行对比，最终的期权二叉树变为：

备注：美式期权和欧式期权的区别在于美式期权可以提前行权，因此美式期",0,1314
52,股利贴现模型,subjective,calculate,某证券的市场价格为50美元，期望收益率是14%，无风险利率为6%，市场风险溢价为8.5%，如果该证券与市场组合的相关系数加倍（其他保持不变），该证券的市场价格是多少？假设该股票永远支付固定的股利。,"如果该证券与市场组合的相关系数加倍（其他所有变量保持不变），那么β将加倍。
14%=6%+β*(8.5%-6%)
解得β=3.2，变动后β=6.4
变动后股票期",0,1236
43,股票估值,subjective,calculate,已知无风险资产收益率为8%，市场组合收益率为15%````，某股票的贝塔系数为1.2，派息比率为40%，最近每股盈利为10美元，每年付一次的股息刚刚支付。预期该股票的股东权益收益率为20%。\n（1）求该股票的内在价值。\n（2）假如当前股,（1）r=rf+β*(rm-rf)=16.4%\ng=b*ROE=(1-d)*ROE=12%\nV0=D1/(r-g)=101.82元\n（2）V1=V0*(1,0,1227
48,股票估值,subjective,calculate,A公司预计明年将支付2.25美元的股息。无风险利率为4.25%，市场组合的预期收益率为12.5%。预计明年A公司的股票价格是23美元。该公司股票的β是1.35。求：\n（1）公司股票的预期收益率\n（2）现在公司股票的内在价值\n（3）若未,（1）E(Ra)=4.25%+1.35*(12.5%-4.25%)=15.39%\n（2）P0=(D1+P1)/(1+r)=(2.25+23)/(1+0.153,0,1232
129,股票估值,subjective,calculate,"已知无风险资产收益率为8%，市场组合收益率为15%````，某股票的贝塔系数为1.2，派息比率为40%，最近每股盈利为10美元，每年付一次的股息刚刚支付。预期该股票的股东权益收益率为20%。
（1）求该股票的内在价值。
（2）假如当前股价为","（1）r=rf+β*(rm-rf)=16.4%
g=b*ROE=(1-d)*ROE=12%
V0=D1/(r-g)=101.82元
（2）V1=V0*(1+g)",0,1227
134,股票估值,subjective,calculate,"A公司预计明年将支付2.25美元的股息。无风险利率为4.25%，市场组合的预期收益率为12.5%。预计明年A公司的股票价格是23美元。该公司股票的β是1.35。求：
（1）公司股票的预期收益率
（2）现在公司股票的内在价值
（3）若未来公司","（1）E(Ra)=4.25%+1.35*(12.5%-4.25%)=15.39%
（2）P0=(D1+P1)/(1+r)=(2.25+23)/(1+0.1539",0,1232
83,自制杠杆,subjective,calculate,A公司与B公司是两家除了资本结构外完全一样的公司，A公司是全权益融资，运用股票进行融资的金额为800000美元。B公司同时运用股票和永续债券，股票价值为400000美元，同时该债券的利率为10%。两家公司预期的息税前利润为95000美元，忽,（1）(95000-400000*10%)/400000=13.75%\n（2）借入30000美元，加上本金30000买入A公司的股票。\n（3）A公司的权益资,0,1268
154,自制杠杆,subjective,calculate,A公司与B公司是两家除了资本结构外完全一样的公司，A公司是全权益融资，运用股票进行融资的金额为800000美元。B公司同时运用股票和永续债券，股票价值为400000美元，同时该债券的利率为10%。两家公司预期的息税前利润为95000美元，忽,"（1）(95000-400000*10%)/400000=13.75%
（2）借入30000美元，加上本金30000买入A公司的股票。
（3）A公司的权益资本成",0,1268
239,认股权证,subjective,calculate,"甲公司是一家高科技上市公司，目前正处于高速增长时期。公司为了开发新项目，继续筹资10000万元，公司拟采取发行附送认股权证债券的方式，相关资料如下：
（1）发行10年期认股权证债券10万份，每份债券面值为1000元，票面利率7%，每年年末付","（1）
每份纯债券价值=1000*7%*PVIFA(8%,10)+1000/(1+8%)^10=932.91
（2）
每份认股权证的价值=(1000-932.9",0,1366
53,证券市场线,subjective,calculate,下表给出了某证券分析师在给定两个市场收益情况下两只股票收益率\n（单位：%）\n（1）两只股票的β各是多少？\n（2）如果市场收益为5%和25%的可能性相同，两只股票的期望收益是多少？\n（3）如果国债利率为6%，市场收益为5%和25%的可,（1）β是股票收益对市场收益的敏感程度，即是市场收益每变动一单位股票收益的相应变化\nβA=(0.38-(-0.02))/(0.25-0.05)=2 同理βB=,0,1237
138,证券市场线,subjective,calculate,"下表给出了某证券分析师在给定两个市场收益情况下两只股票收益率
（单位：%）
（1）两只股票的β各是多少？
（2）如果市场收益为5%和25%的可能性相同，两只股票的期望收益是多少？
（3）如果国债利率为6%，市场收益为5%和25%的可能性相同","（1）β是股票收益对市场收益的敏感程度，即是市场收益每变动一单位股票收益的相应变化
βA=(0.38-(-0.02))/(0.25-0.05)=2 同理βB=0",0,1237
95,请试作答。,subjective,calculate,某公司在考虑收购另一家公司，此收购为横向并购（假定目标公司和收购公司具有相同的风险水平）。目标公司的负债权益比为1:1，每年EBIT为500万元。收购公司的负债与权益市值比为3:7.假定收购公司收购了目标公司后，资本结构保持不变。无风险利率,（1）债务成本=Rb*(1-tc)=3.75%\n权益资本成本20.89%\n（2）目标公司价值3043.83万元\nB=S=1521.92万元,0,1284
158,请试作答。,subjective,calculate,某公司在考虑收购另一家公司，此收购为横向并购（假定目标公司和收购公司具有相同的风险水平）。目标公司的负债权益比为1:1，每年EBIT为500万元。收购公司的负债与权益市值比为3:7.假定收购公司收购了目标公司后，资本结构保持不变。无风险利率,"（1）债务成本=Rb*(1-tc)=3.75%
权益资本成本20.89%
（2）目标公司价值3043.83万元
B=S=1521.92万元",0,1284
44,贝塔系数,subjective,calculate,某投资者希望在2020年进行股票投资，现有A、B两家公司的股票可供投资者选择。从2019年12月31日的有关会计报表及补充资料中可知，当年A公司税后净利润为800万元，发放的每股股利为5元，市盈率为5，A公司发行在外的股数为100万股，每股,（1）利用CAPM模型：\nRa=8%+2*(12%-8%)=16%\nRb=8%+1.5*(12%-8%)=14%\n利用股利折现模型计算股票理论价值：\nP,0,1228
130,贝塔系数,subjective,calculate,某投资者希望在2020年进行股票投资，现有A、B两家公司的股票可供投资者选择。从2019年12月31日的有关会计报表及补充资料中可知，当年A公司税后净利润为800万元，发放的每股股利为5元，市盈率为5，A公司发行在外的股数为100万股，每股,"（1）利用CAPM模型：
Ra=8%+2*(12%-8%)=16%
Rb=8%+1.5*(12%-8%)=14%
利用股利折现模型计算股票理论价值：
Pa=5*",0,1228
73,财务盈亏平衡点,subjective,calculate,某集团公司要进行一项投资期为2年的项目投资。初始投资为60万元，该项目的市场规模一共有70万元，该公司占有10%的市场份额。每件商品的单价为20元，可变成本10元，年固定成本10万元（不包括折旧），公司税率为20%，投资者要求回报率为10%,（1）OCF=(收入-成本)*（1-t）+折旧*t=54万元\nNPV=-60+54/1.1+54/1.12=33.72万元\n（2）EAC=60/1.7355,0,1257
